Name	Abbreviation	RefSeq	GenBank	PaVE ID	PaVE Notes
Human Cytomegalovirus	CMV	NC_006273.2	AY446894.2		
Epstein-Barr virus	chrEBV	NC_007605.1	AJ507799.2		
Hepatitis B	HBV	NC_003977.1	X04615.1		
Hepatitis C	HCV-1	NC_004102.1	AF009606.1		
Hepatitis C	HCV-2	NC_009823.1	AF177036.1		
Human immunodeficiency virus 1	HIV-1	NC_001802.1	AF033819.3		
Human immunodeficiency virus 2	HIV-2	NC_001722.1	M30502.1		
Human herpes virus 8	KSHV	NC_009333.1	AF148805.2		
Human T-lymphotropic virus 1	HTLV-1	NC_001436.1	AF033817.1		
Merkel cell polyomavirus	MCV	NC_010277.2	HM011556.1		
Simian vacuolating virus 40	SV40	NC_001669.1	J02400.1		
Human papillomavirus 16	HPV16	NC_001526	K02718	HPV16REF	Revised
Human papillomavirus 18	HPV18	NC_001357	X05015	HPV18REF	Revised
Human papillomavirus 26	HPV26	NC_001583	X74472	HPV26REF	
Human papillomavirus 31	HPV31		J04353	HPV31REF	
Human papillomavirus 33	HPV33		M12732	HPV33REF	
Human papillomavirus 35	HPV35		X74477	HPV35REF	
Human papillomavirus 39	HPV39		M62849	HPV39REF	
Human papillomavirus 45	HPV45		X74479	HPV45REF	
Human papillomavirus 51	HPV51		M62877	HPV51REF	
Human papillomavirus 52	HPV52		X74481	HPV52REF	
Human papillomavirus 53	HPV53	NC_001593	X74482	HPV53REF	Revised
Human papillomavirus 56	HPV56		X74483	HPV56REF	Revised
Human papillomavirus 58	HPV58		D90400	HPV58REF	
Human papillomavirus 59	HPV59		X77858	HPV59REF	Revised
Human papillomavirus 66	HPV66		U31794	HPV66REF	
Human papillomavirus 68	HPV68		DQ080079	HPV68REF	
Human papillomavirus 69	HPV69		AB027020	HPV69REF	
Human papillomavirus 73	HPV73		X94165	HPV73REF	
Human papillomavirus 82	HPV82		AB027021	HPV82REF	Revised
Human papillomavirus 1	HPV1	NC_001356	V01116	HPV1REF	Revised
Human papillomavirus 2	HPV2	NC_001352	X55964	HPV2REF	
Human papillomavirus 3	HPV3		X74462	HPV3REF	
Human papillomavirus 4	HPV4	NC_001457	X70827	HPV4REF	
Human papillomavirus 5	HPV5	NC_001531	M17463	HPV5REF	Revised
Human papillomavirus 6	HPV6	NC_001355	X00203	HPV6REF	Revised
Human papillomavirus 7	HPV7	NC_001595	X74463	HPV7REF	
Human papillomavirus 8	HPV8		M12737	HPV8REF	
Human papillomavirus 9	HPV9	NC_001596	X74464	HPV9REF	
Human papillomavirus 10	HPV10	NC_001576	X74465	HPV10REF	
Human papillomavirus 11	HPV11		M14119	HPV11REF	
Human papillomavirus 12	HPV12		X74466	HPV12REF	
Human papillomavirus 13	HPV13		X62843	HPV13REF	
Human papillomavirus 14	HPV14		X74467	HPV14REF	Revised
Human papillomavirus 15	HPV15		X74468	HPV15REF	Revised
Human papillomavirus 17	HPV17		X74469	HPV17REF	Revised
Human papillomavirus 19	HPV19		X74470	HPV19REF	
Human papillomavirus 20	HPV20		U31778	HPV20REF	
Human papillomavirus 21	HPV21		U31779	HPV21REF	
Human papillomavirus 22	HPV22		U31780	HPV22REF	
Human papillomavirus 23	HPV23		U31781	HPV23REF	
Human papillomavirus 24	HPV24	NC_001683	U31782	HPV24REF	
Human papillomavirus 25	HPV25		X74471	HPV25REF	
Human papillomavirus 27	HPV27		X74473	HPV27REF	
Human papillomavirus 28	HPV28		U31783	HPV28REF	
Human papillomavirus 29	HPV29		U31784	HPV29REF	
Human papillomavirus 30	HPV30		X74474	HPV30REF	
Human papillomavirus 32	HPV32	NC_001586	X74475	HPV32REF	
Human papillomavirus 34	HPV34	NC_001587	X74476	HPV34REF	
Human papillomavirus 36	HPV36		U31785	HPV36REF	
Human papillomavirus 37	HPV37		U31786	HPV37REF	
Human papillomavirus 38	HPV38		U31787	HPV38REF	
Human papillomavirus 40	HPV40		X74478	HPV40REF	
Human papillomavirus 41	HPV41	NC_001354	X56147	HPV41REF	
Human papillomavirus 42	HPV42		M73236	HPV42REF	
Human papillomavirus 43	HPV43		AJ620205	HPV43REF	
Human papillomavirus 44	HPV44		U31788	HPV44REF	
Human papillomavirus 47	HPV47		M32305	HPV47REF	
Human papillomavirus 48	HPV48	NC_001690	U31789	HPV48REF	
Human papillomavirus 49	HPV49	NC_001591	X74480	HPV49REF	
Human papillomavirus 50	HPV50	NC_001691	U31790	HPV50REF	
Human papillomavirus 54	HPV54	NC_001676	AF436129	HPV54REF	
Human papillomavirus 57	HPV57		X55965	HPV57REF	
Human papillomavirus 60	HPV60	NC_001693	U31792	HPV60REF	
Human papillomavirus 61	HPV61	NC_001694	U31793	HPV61REF	
Human papillomavirus 62	HPV62		AY395706	HPV62REF	
Human papillomavirus 63	HPV63	NC_001458	X70828	HPV63REF	
Human papillomavirus 65	HPV65		X70829	HPV65REF	
Human papillomavirus 67	HPV67		D21208	HPV67REF	
Human papillomavirus 70	HPV70		U21941	HPV70REF	
Human papillomavirus 71	HPV71	NC_002644	AB040456	HPV71REF	Revised
Human papillomavirus 72	HPV72		X94164	HPV72REF	Revised
